review_body,star_rating
"Good luck finding a reasonably priced band replacement. I ordered the band from the dealer who sold it to me (no one else in town could get one) and Skagen sent the wrong one.  I guess I'll try again, but not allowing anyone else to make bands for your unique watch design seems stupid. I will certainly never buy one again.",1
No i get dark on the first week with me!! I will never buy this item and i had buy 5 of them,1
I dont know if mine was a mistake but it clearly states aqua so im confused why mine is lime green. I hate lime green and am very irritated. This is why people hate ordering on amazon. Ive spent 100s of dollars on here latey and this one will make me not want to order.  At least its not much money. Just annoying thinking u ordered something and get something else.  Well its going in the trash...,1
"The rod that holds the bracelet broke several times and the company do not fix it, it is sitting on the drawer so I can come to see the Jeweler to try to fix one more time. Don't buy it. Really. Don't buy it, It is headache.",1
"I bought 2 watches , one watch doesnot work at all, other watch  runs, its time slows down 5-10 minutes backward. Outwardly the watches look beautiful, it doesnot show time . I don't know why you are selling these kind of watches online. It is a waste my money and time that I bought these watches.",1
"This watch would have been fantastic, if it hadn't been so hard to set up, and actually worked properly. It took so many tries to get it into the mode where we could set up hours/minutes. Finally we did that, then the watch screen wouldn't dim anymore, eventually it got to the point where all of the lights turned off, and would not come back on. I would recommend to anyone that is considering buying this watch, to spend a little extra money, and get one that is better quality. With this one....you basically get what you paid for....not a whole lot.",1
"I have this watch. It looks and feels heavy duty. But for this price you know they skimmed somewhere. The digital innards are as if somebody was deliberately trying to annoy you. The chime goes off every hour and cannot be turned off. Trust me I have tried. I read the instructions forward and backward and Googled it. It just doesn't turn off. And the pitch of the chime is so loud and piercing. I seriously stored this thing in a drawer to hide the sound but it still could be heard throughout the house. I finally just took it out back and gave it a whack with the hammer like an old farm animal needing to be put down.  I didn't want to throw it away and take the chance of it haunting me all night from the trash can, disrupting my sleep. Do not buy this brand of watch. You will regret it.",1
What the hell! I just got the watch today but when I took it out the box the arms indicating the time were pointing different directions like if it's loose! I want a refund or at least an exchange!,1
"I am mechanically inclined but cannot get this unit to work on my watches.  Tried it on 3 and it scratches the back case each time, plus it only has 2 prongs so lining it up is very difficult and the tightening mechanism just doesn't get the prongs in place with any accuracy.  For the price I will not return, but I suggest you buy a 3 prong Opener, that is what I am doing.",1
It didnt work right out from the box. I had to spend few dollars to replace its battery at the jewllers. Now it seem to work OK,1
This was the worst purchase I have ever made on Amazon. The watch was OK but the straps were terrible. Two of them broke when I was putting them on so it left me with just one.The one I was left with was very uncomfortable. I purchased this item because I liked the idea of being able to have the different bands to wear on different days. The quality of the bands was so poor I never had the chance. I should have listened to the other negative reviews I read before I purchased this terrible product. It would have saved me some momey.,1
"I received watch yesterday and its not working. I dont know if it is battery issue but its not working.<br />No use of this watch for me. I dont have time to return it back as I am traveling back to india tomorrow :(<br /><br />Its aweful, wasted my money.",1
"Love the watch...it's beautiful, but sadly it keeps getting condensation in the face even though it's water resistant :(",1
